"state","county","county_full","neighbor_state","neighbor_county","neighbor_county_full"
"AL","Autauga","Autauga-AL","AL","Autauga","Autauga-AL"
"AL","Autauga","Autauga-AL","AL","Chilton","Chilton-AL"
"AL","Autauga","Autauga-AL","AL","Dallas","Dallas-AL"
"AL","Autauga","Autauga-AL","AL","Elmore","Elmore-AL"
"AL","Autauga","Autauga-AL","AL","Lowndes","Lowndes-AL"
"AL","Autauga","Autauga-AL","AL","Montgomery","Montgomery-AL"
"AL","Baldwin","Baldwin-AL","AL","Baldwin","Baldwin-AL"
"AL","Baldwin","Baldwin-AL","AL","Clarke","Clarke-AL"
"AL","Baldwin","Baldwin-AL","AL","Escambia","Escambia-AL"
"AL","Baldwin","Baldwin-AL","AL","Mobile","Mobile-AL"
"AL","Baldwin","Baldwin-AL","AL","Monroe","Monroe-AL"
"AL","Baldwin","Baldwin-AL","AL","Washington","Washington-AL"
"AL","Baldwin","Baldwin-AL","FL","Escambia","Escambia-FL"
"AL","Barbour","Barbour-AL","AL","Barbour","Barbour-AL"
"AL","Barbour","Barbour-AL","AL","Bullock","Bullock-AL"
"AL","Barbour","Barbour-AL","AL","Dale","Dale-AL"
"AL","Barbour","Barbour-AL","AL","Henry","Henry-AL"
"AL","Barbour","Barbour-AL","AL","Pike","Pike-AL"
"AL","Barbour","Barbour-AL","AL","Russell","Russell-AL"
"AL","Barbour","Barbour-AL","GA","Clay","Clay-GA"
"AL","Barbour","Barbour-AL","GA","Quitman","Quitman-GA"
"AL","Barbour","Barbour-AL","GA","Stewart","Stewart-GA"
"AL","Bibb","Bibb-AL","AL","Bibb","Bibb-AL"
"AL","Bibb","Bibb-AL","AL","Chilton","Chilton-AL"
"AL","Bibb","Bibb-AL","AL","Hale","Hale-AL"
"AL","Bibb","Bibb-AL","AL","Jefferson","Jefferson-AL"
"AL","Bibb","Bibb-AL","AL","Perry","Perry-AL"
"AL","Bibb","Bibb-AL","AL","Shelby","Shelby-AL"
"AL","Bibb","Bibb-AL","AL","Tuscaloosa","Tuscaloosa-AL"
"AL","Blount","Blount-AL","AL","Blount","Blount-AL"
"AL","Blount","Blount-AL","AL","Cullman","Cullman-AL"
"AL","Blount","Blount-AL","AL","Etowah","Etowah-AL"
"AL","Blount","Blount-AL","AL","Jefferson","Jefferson-AL"
"AL","Blount","Blount-AL","AL","Marshall","Marshall-AL"
"AL","Blount","Blount-AL","AL","St. Clair","St. Clair-AL"
"AL","Blount","Blount-AL","AL","Walker","Walker-AL"
"AL","Bullock","Bullock-AL","AL","Barbour","Barbour-AL"
