"fips","Province_State","mean_pm25","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","Admin2","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","year.x","poverty","popdensity","medianhousevalue","pct_blk","medhouseholdincome","pct_owner_occ","hispanic","education","population","pct_asian","pct_native","pct_white","q_popdensity","smoke_rate","mean_bmi","year.y","Population","Crude.Rate","older_Population","older_pecent","state","date","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","hash","dateChecked","death","hospitalized","total","totalTestResults","posNeg","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","Abbrev","population_frac_county","totalTestResults_county","beds"
1001,"Alabama",11.7125870532397,288.085090873133,306.023450979393,85.6518449946085,96.055417473832,"Autauga","US","4/4/20 23:34",32.53952745,-86.64408227,12,0,0,0,"Autauga, Alabama, US",2016,0.0515336392998836,189.049232857143,107975.238095238,0.255528052200194,47322,0.770523229976901,0.0181398162225998,0.271526396320136,81723,0.00411113807219793,0.00235309792958761,0.714341766273723,3,0.439024390243902,28.7095061728395,2012,918492,859.3,109652,0.119382640240742,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0109611805772113,118.961692804474,NA
1003,"Alabama",10.0777230509255,290.208860774719,305.516633201269,89.7309723109114,97.9715437505421,"Baldwin","US","4/4/20 23:34",30.72774991,-87.72207058,29,1,0,0,"Baldwin, Alabama, US",2016,0.0905196347537779,250.591644041667,162500.430555556,0.0966330758240321,46794.5805555556,0.768326502701117,0.0326128658479417,0.162879597380019,273667,0.00568441851065173,0.00952447720691855,0.864967471937158,3,0.486404833836858,27.0755555555556,2012,3102984,976.2,526184,0.169573545980256,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0367058649954565,398.368752795689,NA
1005,"Alabama",10.9819670547144,289.242107243474,306.062248559024,88.6335717103514,97.3716748161449,"Barbour","US","4/4/20 23:34",31.868263,-85.3871286,2,0,0,0,"Barbour, Alabama, US",2016,0.195746571334405,38.299744,87600,0.476383203763248,33248.4,0.675502039068718,0.0424082127781795,0.381022344296277,41462,0.00320972452470349,0.00157037624877295,0.476728387452826,2,0.506849315068493,29.8154166666667,2012,499262,1040.9,71542,0.143295504164146,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00556113296247489,60.35497604174,NA
1007,"Alabama",11.9987147303031,287.362832468956,305.982177012146,86.4858661148299,96.2930769394653,"Bibb","US","4/4/20 23:34",32.99642064,-87.1251146,4,0,0,0,"Bibb, Alabama, US",2016,0.09138928615169,39.08677925,99318.5617656931,0.133431041578065,43257,0.803954704234745,0.0583608334677453,0.269033389522312,22696,0.000533536585365854,0.00618591905041561,0.850112064224997,2,0.402985074626866,29.23890625,2012,397470,1028.8,51438,0.129413540644577,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00304412410680455,33.0378789311498,NA
1009,"Alabama",11.7930225350482,285.56567573175,305.178864609229,85.4491387986955,94.6309486778274,"Blount","US","4/4/20 23:34",33.98210918,-86.56790593,10,0,0,0,"Blount, Alabama, US",2016,0.0864050889084458,282.15191125,103779.411764706,0.00983120864995819,41491.0833333333,0.700121814378787,0.178954015466602,0.356165084272953,44029,0.00150083627593351,0.00294057131154097,0.971844783030692,4,0.528571428571429,28.3576811594203,2012,997531,993.7,146136,0.146497702828283,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00590543445093838,64.0916800960342,NA
1011,"Alabama",11.3135567572804,288.691328835099,305.867718802397,89.1681225015158,97.1384204608283,"Bullock","US","4/4/20 23:34",32.10030533,-85.71265535,2,0,0,0,"Bullock, Alabama, US",2016,0.273640798296164,14.49910325,87500,0.801096044149208,32392,0.809504912104861,0.00043143501924864,0.550204548759968,10903,0.00407734092016101,0.00029868578255675,0.168215034343472,1,NA,NA,NA,197588,1166.6,27577,0.139568192400348,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00146237597534764,15.8711664604479,NA
1013,"Alabama",10.8041461102477,289.319950128422,306.158492359863,88.4146789097792,97.117399704014,"Butler","US","4/4/20 23:34",31.75300095,-86.68057478,1,0,0,0,"Butler, Alabama, US",2016,0.140556037209941,18.2115166,64660,0.396592327708059,32636,0.777917383518522,0.00620859700956432,0.236012013666966,23980,0.00293310215286808,0.00159048381085162,0.589302425185267,1,0.5,30.1458181818182,2012,374201,1332.4,63124,0.168690089016331,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00321634191404534,34.9069587931341,NA
1015,"Alabama",12.3068497697182,286.032286723183,305.106978399561,86.5853634600088,96.3851336542368,"Calhoun","US","4/4/20 23:34",33.77483727,-85.82630386,21,0,0,0,"Calhoun, Alabama, US",2016,0.108405815233961,310.949411538462,127584.615384615,0.172821824147817,45999.5384615385,0.718877808718835,0.0375013267948751,0.239347661645204,154150,0.00822590661453303,0.00338837364989336,0.776136440277668,4,0.462897526501767,28.193115942029,2012,2073654,1170.5,303171,0.146201343136319,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0206755256901622,224.39148031533,NA
1017,"Alabama",11.4230826565496,287.581219682084,305.667352569565,87.7675987052216,96.2372096279773,"Chambers","US","4/4/20 23:34",32.91360079,-85.39072749,87,6,0,0,"Chambers, Alabama, US",2016,0.13788363226695,112.282978571429,101185.714285714,0.348750598993329,38293.1428571429,0.736774845336897,0.00365762108414126,0.3202847007732,54355,0.0161273321824236,0.00311631451884093,0.61937079027743,3,0.378787878787879,29.4743076923077,2012,628820,1325.2,105417,0.167642568620591,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00729041971384214,79.1229251543287,NA
1019,"Alabama",12.1763344316371,285.222569617883,305.256720867334,87.7572235377581,96.0380888418939,"Cherokee","US","4/4/20 23:34",34.17805983,-85.60638968,6,0,0,0,"Cherokee, Alabama, US",2016,0.139749278246476,58.98964,108133.333333333,0.0479472971982055,38434.6666666667,0.78616102484528,0.0194440128444858,0.295909562097337,44614,0.00444914735842121,0.00445409976212853,0.9299724961241,2,0.405405405405405,28.0676470588235,2012,454744,1204.9,81645,0.179540576676108,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00598389817152706,64.9432468555832,NA
1021,"Alabama",11.8899267421764,287.445411859943,305.770240795932,85.8808447692726,95.9347817644572,"Chilton","US","4/4/20 23:34",32.85044126,-86.7173256,15,0,0,0,"Chilton, Alabama, US",2016,0.158805449447247,65.1543071428572,96142.8571428572,0.137348437941302,43070.5714285714,0.798135636837696,0.0462378083992565,0.24075878649605,38748,0.00228717622911527,0.00262004785909195,0.821421069841609,2,0.625,27.7097402597403,2012,762303,1069.1,104743,0.137403368476839,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00519711494935066,56.4042885453027,NA
1023,"Alabama",10.4192956111724,289.002435145901,306.610630647453,88.2048992779755,96.9137359650746,"Choctaw","US","4/4/20 23:34",32.02227341,-88.2656443,4,0,0,0,"Choctaw, Alabama, US",2016,0.176408516487502,13.1541053,54907.1577649608,0.413664057767196,31159.4285714286,0.804444665453882,0.00177543186180422,0.445750970942109,13094,0.00152671755725191,0.000245398773006135,0.579014620354451,1,0.26984126984127,29.883606557377,2012,258214,1191.6,45362,0.175675989682976,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00175624608100541,19.0605387171517,NA
1025,"Alabama",10.589687393255,289.541421286965,306.539889641328,87.3819565145343,97.061486060679,"Clarke","US","4/4/20 23:34",31.68099859,-87.83548597,6,0,0,0,"Clarke, Alabama, US",2016,0.139465452870617,24.8957089090909,74276.3636363636,0.430266615215194,27862.651948052,0.685405653559624,0.000949333595818052,0.263460939814668,43072,0.00261388275146184,0.000154250368518432,0.561179198503977,2,0.39344262295082,28.1130508474576,2012,472616,1094.3,73218,0.154920696717843,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00577707585161639,62.6986042175926,NA
1027,"Alabama",11.3761869637611,286.391882941875,304.660400182966,87.7888865777895,97.4825176103129,"Clay","US","4/4/20 23:34",33.26984193,-85.85836077,8,0,0,0,"Clay, Alabama, US",2016,0.299835745880702,33.8427466666667,76100.3433122769,0.117521770542038,36142,0.681319585307298,0.0319084772576878,0.433891158984342,17429,0,0.0039142605219371,0.86748595640071,2,0.6875,30.0845161290323,2012,250712,1304.7,44443,0.177267143176234,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00233768236947024,25.3708667558605,NA
1029,"Alabama",11.3628846888233,285.915957995259,304.422856786771,87.9129431827676,97.6828699044249,"Cleburne","US","4/4/20 23:34",33.67679204,-85.52005899,7,0,0,0,"Cleburne, Alabama, US",2016,0.127893965217437,36.023618,96660,0.0216162027836286,38881.8,0.765812253907136,0.0103505837691336,0.397189261337868,22883,0.00510883694669576,0.000997861724875268,0.954919906656526,2,0.75,27.1654166666667,2012,263977,1165.6,41412,0.156877303704489,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00306920567218931,33.3100891602705,NA
1031,"Alabama",10.9168803116058,289.712874714421,306.131137352077,87.3100007724567,97.280721645008,"Coffee","US","4/4/20 23:34",31.39932826,-85.98901039,7,0,0,0,"Coffee, Alabama, US",2016,0.0709747410462191,123.52676,112600,0.114178342752713,44117,0.713278456121322,0.0491721729959363,0.245857000522894,88515,0.0113094611627661,0.0235683855724259,0.815675809768475,3,0.509615384615385,28.0164077669903,2012,856929,1001.6,127814,0.149153547143346,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0118721644921486,128.848601233289,NA
1033,"Alabama",11.1992327449678,284.681674442068,305.192574858999,86.9598054642419,95.5697312995212,"Colbert","US","4/4/20 23:34",34.69847452,-87.80168544,5,0,0,0,"Colbert, Alabama, US",2016,0.0975531344323572,361.585288333333,103333.333333333,0.17302675623048,43070.8333333333,0.727792629021306,0.0247338306581066,0.248726030041947,69479,0.00472017721411602,0.00568647657788728,0.783569684497824,4,0.517241379310345,28.6982978723404,2012,980619,1208.8,166455,0.16974482444252,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00931894161159117,101.138473310599,NA
1035,"Alabama",10.3751379964825,289.633038417994,306.179359673365,88.5030076910803,97.4202504414228,"Conecuh","US","4/4/20 23:34",31.43401703,-86.99320044,2,0,0,0,"Conecuh, Alabama, US",2016,0.111798810021008,17.9347966666667,86050,0.29322149766314,34250,0.833291156890867,0.010209520113333,0.238892696723175,20727,0.00117017719826145,0.00158809762621197,0.695658167437145,1,0.5,29.9096666666667,2012,240029,1286.1,42255,0.176041228351574,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00278002997716505,30.1716653421722,NA
1037,"Alabama",11.8413850946779,287.429773419754,305.524819412914,87.1801346224805,96.4085041603218,"Coosa","US","4/4/20 23:34",32.93690146,-86.24847739,6,0,0,0,"Coosa, Alabama, US",2016,0.0948276694034635,20.7520044,99100,0.194049864213626,41014,0.839989999419433,0.0012440042874178,0.207905985992164,12790,0,0.000278862242052426,0.800541451130633,1,NA,NA,NA,205706,1183.7,34140,0.165965018035449,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00171547177150292,18.6180151361211,NA
1039,"Alabama",10.4668283656942,290.17570766172,306.442626726757,89.3449813748398,98.0248500929379,"Covington","US","4/4/20 23:34",31.2477854,-86.45050893,4,0,0,0,"Covington, Alabama, US",2016,0.113242604673305,100.777184444444,95751.8518518519,0.266453141495176,34914.8888888889,0.810998873462719,0.0243408199968291,0.403736708391177,37250,0.00239450451073647,0.00264742564595532,0.675211288735772,3,0.424242424242424,27.924126984127,2012,675056,1350.1,125286,0.185593491502927,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0049961941742364,54.2236953729877,NA
1041,"Alabama",10.8184611214397,289.21801968265,306.110220957487,89.4949946944586,97.4389849071392,"Crenshaw","US","4/4/20 23:34",31.72941803,-86.31593104,2,0,0,0,"Crenshaw, Alabama, US",2016,0.133390629035906,22.874625,82275,0.188880650535429,37224.5,0.755837716629787,0.0149829963644801,0.324860644602697,20631,0.00656035125187147,0.00850935247291475,0.773740290289591,2,0.483870967741935,30.2086206896552,2012,248758,1301.3,41934,0.168573473013933,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00276715387942742,30.0319210534257,NA
1043,"Alabama",11.699903102755,285.433413370634,305.048613701237,85.9156473328589,95.4208343432,"Cullman","US","4/4/20 23:34",34.13020303,-86.86888037,15,1,0,0,"Cullman, Alabama, US",2016,0.106357533455258,132.183904166667,114208.333333333,0.00772901728631806,37100.4166666667,0.781605322976298,0.0324896357695761,0.275450412207253,99447,0.00392450210769744,0.00458015750680898,0.958056448867003,3,0.566265060240964,28.9523076923077,2012,1430571,1159.1,226345,0.158220039410837,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0133384301220211,144.761982114295,NA
1045,"Alabama",10.8722219313788,289.822548575658,306.168895424517,86.0520810443564,96.8936976141805,"Dale","US","4/4/20 23:34",31.43037123,-85.61095742,2,0,0,0,"Dale, Alabama, US",2016,0.0900793232774759,87.71247625,104537.585828069,0.155286319134919,44180.25,0.607930796839245,0.0429997549803195,0.185209194568368,62563,0.00675635901575817,0.00484529315032173,0.794049484834095,3,0.565656565656566,28.849587628866,2012,891078,940.7,121327,0.136157552986383,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00839132607040945,91.0710618421538,NA
1047,"Alabama",11.764776165722,288.363973199797,306.333884575579,86.6117414019941,96.0050637231454,"Dallas","US","4/4/20 23:34",32.32688101,-87.1086671,7,0,0,0,"Dallas, Alabama, US",2016,0.238258865243497,37.9422862222222,73255.5555555556,0.677402663103135,27687.5555555556,0.66007805410644,0.0288856096693378,0.299450156218279,65808,0.00146049985357665,0.000777104787120964,0.310655478226174,2,0.422459893048128,29.9041573033708,2012,789694,1244.2,112935,0.143011090371714,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00882656499914495,95.7947099357201,NA
1049,"Alabama",10.6600280415121,283.933808828392,303.821978780487,88.8633241113475,97.4430103557967,"DeKalb","US","4/4/20 23:34",34.45946862,-85.80782906,13,0,0,0,"DeKalb, Alabama, US",2016,0.122847653376888,91.3581413333333,97120,0.00857018601569217,36650.3333333333,0.752837106749967,0.0711396364372091,0.36090155515107,70053,0.00198160310331177,0.0199735882892911,0.905374460699019,3,0.561643835616438,27.8939436619718,2012,1237389,1051.7,176908,0.142968783462597,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00939592994598075,101.974027703729,NA
1051,"Alabama",11.8831829606754,288.080583608154,305.935176014801,87.1537615276349,96.2037698247628,"Elmore","US","4/4/20 23:34",32.59785413,-86.14415284,19,0,0,0,"Elmore, Alabama, US",2016,0.0680484974387997,190.68132,143320,0.217633470683054,53977.9,0.766729822943329,0.0224829305242053,0.180469619248161,101002,0.00375387005596914,0.00309565454979471,0.751549127850506,3,0.525862068965517,28.0038938053097,2012,1353407,874.8,163233,0.120608952074284,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0135469960801671,147.025548458054,NA
1053,"Alabama",10.5522106522264,290.122018535999,306.28167953573,88.6006335645169,98.2229541202676,"Escambia","US","4/4/20 23:34",31.1256789,-87.15918694,2,0,0,0,"Escambia, Alabama, US",2016,0.12558097193323,50.29479,94900,0.318969614149876,33408.6666666667,0.71565861535243,0.0211203451700709,0.238824947969837,90832,0.0010725131396322,0.0362715867901957,0.620279151481042,2,0.453333333333333,29.6923287671233,2012,683727,1169,101951,0.149110683065024,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.012182934476087,132.221387868972,NA
1055,"Alabama",12.1916147204352,285.319653219327,305.055787334565,85.6826388120165,95.0620599887012,"Etowah","US","4/4/20 23:34",34.04567266,-86.04051873,26,3,0,0,"Etowah, Alabama, US",2016,0.0885452740787007,379.100756666667,102256.294117647,0.111643515763117,45267.5,0.720483114703794,0.0346402222104304,0.245250615897865,125784,0.00588904566333548,0.00516587024854225,0.859407737479528,4,0.493212669683258,28.0384579439252,2012,1864049,1311.6,301747,0.161877182413123,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0168709070607289,183.099954330091,NA
1057,"Alabama",11.0578531916286,286.174412226057,305.891187072394,87.5412409391299,96.5059859081273,"Fayette","US","4/4/20 23:34",33.72076938,-87.73886638,1,0,0,0,"Fayette, Alabama, US",2016,0.100901737543976,30.732315,59851.3939393939,0.0429794513462823,32101.3333333333,0.854378829507846,0.00558994153821588,0.377673483041185,15986,0.00283744069532024,0,0.945799621912808,2,0.490909090909091,27.9498,2012,316242,1323.7,55797,0.176437664826304,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00214413852535149,23.2703354156398,NA
1059,"Alabama",10.1497351899426,284.753352379015,305.168947798529,87.0918671436081,95.6389685757422,"Franklin","US","4/4/20 23:34",34.44235334,-87.84289505,6,0,0,0,"Franklin, Alabama, US",2016,0.120591808292412,41.57163,86671.4285714286,0.0226035731554465,36354.7142857143,0.742580692439625,0.073668997158987,0.320743884911879,33104,0.00240331197120926,0.00988311442071525,0.935277549603821,2,0.525,29.1774025974026,2012,563568,1237.8,86734,0.153901569996877,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00444010770319253,48.1884889027486,NA
1061,"Alabama",10.6380451454012,290.234969865982,306.142984104903,87.535714696241,97.9073056718717,"Geneva","US","3/30/20 22:52",31.09389027,-85.83572839,0,0,0,0,"Geneva, Alabama, US",2016,0.129001222178756,52.56601,87764.3259259259,0.0909318029878247,42297.8888888889,0.789425830199068,0.0433646252475781,0.291046699171049,33703,0.00200224362960213,0.00269316368239088,0.883716096761645,2,0.484375,29.5461666666667,2012,473304,1251.8,83338,0.176077109003938,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00452044918803462,49.0604350377397,NA
1063,"Alabama",11.2986736589469,287.524854983198,306.331060202729,86.3300536177567,95.6338728334212,"Greene","US","4/4/20 23:34",32.85504247,-87.95684022,5,0,0,0,"Greene, Alabama, US",2016,0.231689585333529,13.8549816666667,63916.6666666667,0.760101798331977,22724.7380952381,0.744144725306693,0.00596668837848803,0.402022220694736,17101,0.00156880322725236,0.00385752273211753,0.219420524525726,1,NA,NA,NA,167097,1176,26621,0.159314649574798,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00229368903553334,24.8934071026433,NA
1065,"Alabama",11.5666361858997,287.965564466441,306.442193480007,84.4963183929981,95.5603503225308,"Hale","US","4/4/20 23:34",32.76039258,-87.63284988,3,0,0,0,"Hale, Alabama, US",2016,0.258516298099038,22.6995,90540,0.6275650981684,32991.4,0.807742653568424,0.010878650167535,0.319314245971836,17164,0.000478311707785873,0.00145898466577341,0.35793635912402,2,0.321428571428571,29.3623636363636,2012,291975,1165.9,43124,0.147697576847333,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00230213897467365,24.9851142921332,NA
1067,"Alabama",10.6891545709431,289.659546526439,306.188359349426,87.2069304240247,97.2081488079044,"Henry","US","4/4/20 23:34",31.51148016,-85.24267944,2,0,0,0,"Henry, Alabama, US",2016,0.15535860036207,25.80526,83250,0.302257490081943,37223,0.801171903846379,0.0197580472913886,0.292568568556513,19674,9.56754688097972e-05,0,0.680013474515222,2,0.338709677419355,27.9266666666667,2012,304327,1253.3,54708,0.179767158352693,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.00263879528010542,28.6388451749842,NA
1069,"Alabama",11.0448020403976,290.407236274052,306.420252600615,86.2071921113542,97.2869561719157,"Houston","US","4/4/20 23:34",31.15197924,-85.29939599,14,1,0,0,"Houston, Alabama, US",2016,0.103616402135449,228.405990909091,109890.909090909,0.201954959692808,42251.1818181818,0.706781614292451,0.0315585428910595,0.241890946547503,136978,0.00538457335503716,0.00689749697865222,0.763133481574404,3,0.411067193675889,28.5240495867769,2012,1751027,984.3,252560,0.144235354451987,"AL",20200404,1580,9273,NA,NA,212,NA,NA,NA,NA,NA,"963802ea3a71c8b5d74fec7b17f1fb98e9547168","2020-04-04T20:00:00Z",43,212,10853,10853,10853,8,212,1086,148,1234,"Ala.",0.0183723137073437,199.394720665802,NA
