"date","state","positive","negative","pending","hospitalized","death","total","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","NA.","positive1"
"2020-04-09","Alabama",14,6988,0,27,7,7223,7223,2,0,0,146,9,155,235
"2020-04-08","Alabama",14,6842,0,27,7,7068,7068,2,1,4,142,13,155,226
"2020-04-07","Alabama",14,6700,0,23,6,6913,6913,2,0,0,8,22,30,213
"2020-04-06","Alabama",13,6692,0,23,6,6883,6883,2,0,3,593,6,599,191
"2020-04-05","Alabama",13,6099,0,20,6,6284,6284,2,1,4,230,14,244,185
"2020-04-04","Alabama",13,5869,0,16,5,6040,6040,2,2,1,10,14,24,171
"2020-04-03","Alabama",13,5859,0,15,3,6016,6016,2,0,6,980,14,994,157
"2020-04-02","Alabama",12,4879,0,9,3,5022,5022,2,0,0,409,10,419,143
"2020-04-01","Alabama",12,4470,0,9,3,4603,4603,2,0,2,876,14,890,133
"2020-03-31","Alabama",12,3594,0,7,3,3713,3713,2,0,0,54,5,59,119
"2020-03-30","Alabama",12,3540,0,7,3,3654,3654,2,1,1,308,12,320,114
"2020-03-29","Alabama",12,3232,0,6,2,3334,3334,2,0,1,396,17,413,102
"2020-03-28","Alabama",10,2836,0,5,2,2921,2921,2,1,2,517,16,533,85
"2020-03-27","Alabama",8,2319,13,3,1,2401,2388,2,0,0,518,10,528,69
"2020-03-26","Alabama",7,1801,0,3,1,1860,1860,2,0,2,152,17,169,59
"2020-03-25","Alabama",6,1649,0,1,1,1691,1691,2,1,1,663,6,669,42
"2020-03-24","Alabama",5,986,0,0,0,1022,1022,2,0,0,40,14,54,36
"2020-03-23","Alabama",4,946,0,0,0,968,968,2,0,0,0,0,0,22
"2020-03-22","Alabama",4,946,0,0,0,968,968,2,0,0,188,8,196,22
"2020-03-21","Alabama",3,758,0,0,0,772,772,2,0,0,72,2,74,14
"2020-03-20","Alabama",3,686,0,0,0,698,698,2,0,0,254,6,260,12
"2020-03-19","Alabama",2,432,0,0,0,438,438,2,0,0,26,0,26,6
"2020-03-18","Alabama",2,406,0,0,0,412,412,2,0,0,72,3,75,6
"2020-03-17","Alabama",2,334,0,0,0,337,337,2,0,0,191,2,193,3
"2020-03-16","Alabama",2,143,0,0,0,144,144,2,0,0,0,0,0,1
"2020-03-15","Alabama",2,143,0,0,0,144,144,2,0,0,0,0,0,1
