"date","state","positive","negative","pending","hospitalized","death","total","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","NA"
"2020-05-14","AK","387","31375","0","0","10","31762","31762","02","0","0","1109","4","1113"
"2020-05-14","AL","10968","131017","0","1350","467","141985","141985","01","18","33","5262","351","5613"
"2020-05-14","AR","4236","71582","0","509","97","75818","75818","05","2","12","2531","72","2603"
"2020-05-14","AS","0","105","0","0","0","105","105","60","0","0","0","0","0"
"2020-05-14","AZ","12674","121664","0","1636","624","134338","134338","04","30","46","6090","498","6588"
"2020-05-14","CA","73164","1031487","0","0","3032","1104651","1104651","06","98","0","37036","2023","39059"
"2020-05-14","CO","20475","94044","0","3735","1062","114519","114519","08","53","40","2951","318","3269"
"2020-05-14","CT","35464","114098","0","10946","3219","149562","149562","09","94","1557","6010","609","6619"
"2020-05-14","DC","6736","26263","0","0","358","32999","32999","11","8","0","1189","152","1341"
"2020-05-14","DE","7223","29634","0","0","260","36857","36857","10","13","0","1833","271","2104"
"2020-05-14","FL","43210","565627","1228","7993","1948","610065","608837","12","50","158","13266","808","14074"
"2020-05-14","GA","35858","250023","0","6345","1527","285881","285881","13","22","86","11451","526","11977"
"2020-05-14","GU","153","4226","0","0","5","4379","4379","66","0","0","116","1","117"
"2020-05-14","HI","638","38243","0","81","17","38881","38881","15","0","0","513","3","516"
"2020-05-14","IA","13675","75619","0","0","318","89294","89294","19","12","0","3189","386","3575"
"2020-05-14","ID","2324","31430","0","212","69","33754","33754","16","0","-2","595","31","626"
"2020-05-14","IL","87937","424100","0","0","3928","512037","512037","17","136","0","19439","3239","22678"
"2020-05-14","IN","26053","134186","0","4389","1646","160239","160239","18","27","0","5576","580","6156"
"2020-05-14","KS","7468","50160","0","704","164","57628","57628","20","0","0","0","0","0"
"2020-05-14","KY","7080","110315","0","1835","326","117395","117395","21","5","10","6534","227","6761"
"2020-05-14","LA","33489","214099","0","0","2417","247588","247588","22","36","0","8857","827","9684"
"2020-05-14","MA","80497","329535","0","8032","5315","410032","410032","25","0","0","0","0","0"
"2020-05-14","MD","35903","142551","0","6553","1866","178454","178454","24","57","149","3789","1091","4880"
"2020-05-14","ME","1565","22092","0","207","69","23657","23657","23","3","3","0","50","50"
"2020-05-14","MI","49582","286301","0","0","4787","335883","335883","26","73","0","26432","1191","27623"
"2020-05-14","MN","13435","115317","0","1915","663","128752","128752","27","25","64","6199","518","6717"
"2020-05-14","MO","10317","116793","0","0","562","127110","127110","29","20","0","2793","175","2968"
"2020-05-14","MP","19","3306","0","0","2","3325","3325","69","0","0","285","0","285"
"2020-05-14","MS","10483","94843","0","1667","480","105326","105326","28","15","51","4885","393","5278"
"2020-05-14","MT","462","24087","0","63","16","24549","24549","30","0","0","697","0","697"
"2020-05-14","NC","16507","202761","0","0","615","219268","219268","37","18","0","8120","691","8811"
"2020-05-14","ND","1647","48599","0","129","40","50246","50246","38","0","2","1301","0","1301"
"2020-05-14","NE","9075","44266","0","0","107","53341","53341","31","4","0","3233","383","3616"
"2020-05-14","NH","3299","35876","735","326","150","39910","39175","33","8","7","1899","60","1959"
"2020-05-14","NJ","142704","308992","0","0","9946","451696","451696","34","244","0","9102","1144","10246"
"2020-05-14","NM","5364","109647","0","886","231","115011","115011","35","12","0","4570","152","4722"
"2020-05-14","NV","6499","62985","0","0","331","69484","69484","32","10","0","2707","105","2812"
"2020-05-14","NY","343051","955706","0","74433","22170","1298757","1298757","36","157","470","37460","2390","39850"
"2020-05-14","OH","26357","206995","0","4718","1534","233352","233352","39","51","100","6862","636","7498"
"2020-05-14","OK","4962","107221","0","858","284","112183","112183","40","6","10","2946","110","3056"
"2020-05-14","OR","3479","80571","0","685","137","84050","84050","41","3","7","0","63","63"
"2020-05-14","PA","59636","251559","0","0","4218","311195","311195","42","275","0","7388","938","8326"
"2020-05-14","PR","2427","0","0","0","117","2427","2427","72","2","0","0","98","98"
"2020-05-14","RI","12016","89585","0","1351","468","101601","101601","44","6","23","3498","181","3679"
"2020-05-14","SC","8189","94346","0","1338","371","102535","102535","45","16","0","9133","262","9395"
"2020-05-14","SD","3792","22681","0","290","43","26473","26473","46","4","9","569","60","629"
"2020-05-14","TN","16699","285618","0","1435","287","302317","302317","47","14","47","9071","329","9400"
"2020-05-14","TX","43851","579433","0","0","1216","623284","623284","48","58","0","34405","1448","35853"
"2020-05-14","UT","6749","153370","0","558","75","160119","160119","49","0","5","3204","129","3333"
"2020-05-14","VA","27813","139017","496","5211","955","167326","166830","51","28","131","4371","1067","5438"
"2020-05-14","VI","69","1164","45","0","6","1278","1233","78","0","0","36","0","36"
"2020-05-14","VT","932","21573","0","0","53","22505","22505","50","0","0","826","3","829"
"2020-05-14","WA","17512","243568","0","0","975","261080","261080","53","13","0","4577","182","4759"
"2020-05-14","WI","11275","122598","169","1939","434","134042","133873","55","13","31","5487","373","5860"
"2020-05-14","WV","1427","67286","0","0","60","68713","68713","54","2","0","2004","29","2033"
"2020-05-14","WY","701","14729","0","67","7","15430","15430","56","0","0","345","26","371"
"2020-05-13","AK","383","30266","0","0","10","30649","30649","02","0","0","688","0","688"
"2020-05-13","AL","10617","125755","0","1317","449","136372","136372","01","20","30","2847","307","3154"
"2020-05-13","AR","4164","69051","0","497","95","73215","73215","05","0","12","2771","0","2771"
"2020-05-13","AS","0","105","0","0","0","105","105","60","0","0","0","0","0"
"2020-05-13","AZ","12176","115574","0","1590","594","127750","127750","04","32","26","4468","440","4908"
"2020-05-13","CA","71141","994451","0","0","2934","1065592","1065592","06","87","0","30463","1759","32222"
"2020-05-13","CO","20157","91093","0","3695","1009","111250","111250","08","22","32","2315","278","2593"
"2020-05-13","CT","34855","108088","0","9389","3125","142943","142943","09","84","0","3997","522","4519"
"2020-05-13","DC","6584","25074","0","0","350","31658","31658","11","14","0","509","99","608"
"2020-05-13","DE","6952","27801","0","0","247","34753","34753","10","10","0","1251","211","1462"
"2020-05-13","FL","42402","552361","1191","7835","1898","595954","594763","12","49","181","14680","479","15159"
"2020-05-13","GA","35332","238572","0","6259","1505","273904","273904","13","44","129","11028","697","11725"
"2020-05-13","GU","152","4110","0","0","5","4262","4262","66","0","0","171","0","171"
