key,state,cum_confirmed,cum_Deaths,date,State,positive,death,hospitalized,total,recovered,positiveIncrease,deathIncrease,hospitalizedIncrease,totalTestResultsIncrease,flag,daily_confirmed,daily_Deaths
20200818 Alabama,Alabama,110361,1936,2020-08-18,Alabama,110361,1936,12958,868259,41523,1357,11,0,15336,,,
20200817 Alabama,Alabama,109004,1925,2020-08-17,Alabama,109004,1925,12958,852923,41523,571,27,351,6499,1,1357,11
20200816 Alabama,Alabama,108433,1898,2020-08-16,Alabama,108433,1898,12607,846424,41523,853,2,0,9407,1,571,27
20200815 Alabama,Alabama,107580,1896,2020-08-15,Alabama,107580,1896,12607,837017,41523,1271,3,151,12033,1,853,2
20200814 Alabama,Alabama,106309,1893,2020-08-14,Alabama,106309,1893,12456,824984,41523,752,3,0,22422,1,1271,3
20200813 Alabama,Alabama,105557,1890,2020-08-13,Alabama,105557,1890,12456,802562,41523,771,8,164,6791,1,752,3
20200812 Alabama,Alabama,104786,1882,2020-08-12,Alabama,104786,1882,12292,795771,41523,935,35,222,12082,1,771,8
20200811 Alabama,Alabama,103851,1847,2020-08-11,Alabama,103851,1847,12070,783689,37923,831,50,0,3122,1,935,35
20200810 Alabama,Alabama,103020,1797,2020-08-10,Alabama,103020,1797,12070,780567,37923,1686,29,533,18116,1,831,50
20200809 Alabama,Alabama,101334,1768,2020-08-09,Alabama,101334,1768,11537,762451,37923,2947,33,0,12949,1,1686,29
20200808 Alabama,Alabama,98387,1735,2020-08-08,Alabama,98387,1735,11537,749502,37923,86,0,0,86,1,2947,33
20200807 Alabama,Alabama,98301,1735,2020-08-07,Alabama,98301,1735,11537,749416,37923,1709,21,224,9632,1,86,0
20200806 Alabama,Alabama,96592,1714,2020-08-06,Alabama,96592,1714,11313,739784,37923,1938,19,213,12324,1,1709,21
20200805 Alabama,Alabama,94654,1695,2020-08-05,Alabama,94654,1695,11100,727460,37923,952,29,0,5159,1,1938,19
20200804 Alabama,Alabama,93702,1666,2020-08-04,Alabama,93702,1666,11100,722301,35401,1041,33,235,8250,1,952,29
20200803 Alabama,Alabama,92661,1633,2020-08-03,Alabama,92661,1633,10865,714051,35401,1217,6,344,7981,1,1041,33
20200802 Alabama,Alabama,91444,1627,2020-08-02,Alabama,91444,1627,10521,706070,35401,2095,24,0,8699,1,1217,6
20200801 Alabama,Alabama,89349,1603,2020-08-01,Alabama,89349,1603,10521,697371,35401,1626,23,0,7904,1,2095,24
20200731 Alabama,Alabama,87723,1580,2020-07-31,Alabama,87723,1580,10521,689467,35401,1961,15,451,9359,1,1626,23
20200730 Alabama,Alabama,85762,1565,2020-07-30,Alabama,85762,1565,10070,680108,35401,1980,27,177,11833,1,1961,15
20200729 Alabama,Alabama,83782,1538,2020-07-29,Alabama,83782,1538,9893,668275,32510,1416,47,0,2876,1,1980,27
20200728 Alabama,Alabama,82366,1491,2020-07-28,Alabama,82366,1491,9893,665399,32510,1251,0,199,7440,1,1416,47
20200727 Alabama,Alabama,81115,1491,2020-07-27,Alabama,81115,1491,9694,657959,32510,1821,18,537,8273,1,1251,0
20200726 Alabama,Alabama,79294,1473,2020-07-26,Alabama,79294,1473,9157,649686,32510,1164,17,0,8075,1,1821,18
20200725 Alabama,Alabama,78130,1456,2020-07-25,Alabama,78130,1456,9157,641611,32510,2125,18,0,12627,1,1164,17
20200724 Alabama,Alabama,76005,1438,2020-07-24,Alabama,76005,1438,9157,628984,32510,1793,41,162,9457,1,2125,18
20200723 Alabama,Alabama,74212,1397,2020-07-23,Alabama,74212,1397,8995,619527,32510,2399,33,457,10039,1,1793,41
20200722 Alabama,Alabama,71813,1364,2020-07-22,Alabama,71813,1364,8538,609488,29736,1455,61,0,9107,1,2399,33
20200721 Alabama,Alabama,70358,1303,2020-07-21,Alabama,70358,1303,8538,600381,29736,1467,12,170,6593,1,1455,61
20200720 Alabama,Alabama,68891,1291,2020-07-20,Alabama,68891,1291,8368,593788,29736,1880,4,586,8255,1,1467,12
20200719 Alabama,Alabama,67011,1287,2020-07-19,Alabama,67011,1287,7782,585533,29736,1777,1,0,11038,1,1880,4
20200718 Alabama,Alabama,65234,1286,2020-07-18,Alabama,65234,1286,7782,574495,29736,2143,21,198,11380,1,1777,1
20200717 Alabama,Alabama,63091,1265,2020-07-17,Alabama,63091,1265,7584,563115,29736,2003,35,0,12006,1,2143,21
20200716 Alabama,Alabama,61088,1230,2020-07-16,Alabama,61088,1230,7584,551109,29736,2021,19,293,10060,1,2003,35
20200715 Alabama,Alabama,59067,1211,2020-07-15,Alabama,59067,1211,7291,541049,29736,1812,47,168,11960,1,2021,19
20200714 Alabama,Alabama,57255,1164,2020-07-14,Alabama,57255,1164,7123,529089,25783,1710,40,378,9485,1,1812,47
20200713 Alabama,Alabama,55545,1124,2020-07-13,Alabama,55545,1124,6745,519604,25783,1958,3,0,8098,1,1710,40
20200712 Alabama,Alabama,53587,1121,2020-07-12,Alabama,53587,1121,6745,511506,25783,1640,7,0,9486,1,1958,3
